Babington,Babbingeton,Babyngton,Bavington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batmanson,Batmayson,Batmaison,Baitmason,Batmeson,Battmison,Baytmason,Baytmayson,Betmanson,Betmeson,Betmison,Beatmason,Baitmason,Batamson,Batemanson,Bathemson,Batmason,Batmasson,Batmesson,Batminson,Batmison,Batmisson,Battamson,Battersman,Battinson,Battisman,Battmanson,Battmeson,Battmison,Battmisson,Battmyson,,,,,,,,,,,,,,,,,,,,,,,,
Battersby,Battensby,Bawterbie,Batensby,Batersby,Bathursby,Batonsby,Battarsby,Battenby,Battensbee,Battersbie,Battesbey,Battinsby,Battlesby,Battonsby,Bottonsby,Pattenby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baughton ,Boughton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawcocke,Bawcok,Bawcoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawhinney,Bawwhinney,Bawwynnye,Bawquenny,Bowhynie,Bowthmy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawmes,Bawims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxendale,Backsendale,Bassendale,Bassindale,Brazendale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baxter,Baxster,Backster,Baxterye,Backesster,Backester,Bakster,Bagster,Bakester,Barkster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buxton,Baxton,Backton,Buckton,Buckden,Buckson,Buckston,Buckton,Bucton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayes,bays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beadell,bedell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beadnall,Beadling,Beadland,Bednell,Bidnell,Beadnell,Badnall,Beadenel,Beadenell,Beadlands,Beadnal,Beadnel,Beadneling,Bedenal,Bedenell,Bedling,Bednall,Beednal,Beednall,Beednel,Beednell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beak,Beakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beall,Baell,Beale,Beel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean,Beane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beanley,Beaneley,Beinley,Benlay,Binley,Bindley,Byndley,Byndlawe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bearpark,Bearparke,Bearepark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beason,Beasinge,Beassinge,Beazinge,Beasinge,Beesing,beeson,beaston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaumont,Beamont,Beamong,Beomond,Bemond,Bement,Belmond,Beamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
