Ditchon,Ditchant,Ditchannt,Ditchannte,Dychannte,Datchaunte,detchon,,,,,,,,,,,,,,,,,,,,,,,,,
Dobbin,Dobin,Dobine,Dobbyn,Dobbyne,Dobinge,dobbing,,,,,,,,,,,,,,,,,,,,,,,,,
Dobby,Dobbye,Dobbie,Dobor,dobey,dobie,,,,,,,,,,,,,,,,,,,,,,,,,,
Dobinson,Dobbinson,Dobynson,Dobson,Dobsone,Dobsonn,Dobsonne,Dobbeson,Dobbison,Dobbyson,Dobeson,Dobesonn,Dobison,Dobisonn,Dobisonne,Dobbeson,Dopson,,,,,,,,,,,,,,,
Docherty,Doherty,Dogherty,Daggerty,Duffertee,Dougherty,Daugharty,Dauety,Dorty,Doubty,Dougharty,Doughety,Doughtery,,,,,,,,,,,,,,,,,,,
Dockeray,Dockera,dockwray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodds,Dods,Dodd,Dod,Dodde,Doddes,Dode,Dodes,,,,,,,,,,,,,,,,,,,,,,,,
Dodgson,Dodshon,Dodshone,Dodgeson,Dodgshon,Dotchaunt,Dotchannt,Dotcheon,Dotchin,Dotchon,Dochon,Dochson,,,,,,,,,,,,,,,,,,,,
Dodswell,Dodwell,Doddwell,Dowdswell,Dowdeswell,Dowdwell,Dowdell,,,,,,,,,,,,,,,,,,,,,,,,,
Dodsworth,Doddsworth,Dodesworth,Dodswoorth,Dodysworthe,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doig,Doeg,Doidge,Dodge,Doige,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollor,Doige,Doler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkin,Donkine,Donking,Donkinge,Doncken,Donckin,Doncking,Donckinge,Donckon,Donkan,Donken,Dunkan,Dunke,Donker,duncan,,,,,,,,,,,,,,,,,
Donnison,Donneson,Donatson,Donetson,Donotsonn,donaldson,,,,,,,,,,,,,,,,,,,,,,,,,,
Dores,Doores,Doors,Doorish,Doorse,Daws,Dors,Dowrish,,,,,,,,,,,,,,,,,,,,,,,,
Dorman,Dormand,Dormant,Dormon,Dormond,Dormont,,,,,,,,,,,,,,,,,,,,,,,,,,
Dossey,Dossy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Douglesse,Dowglas,Dugglas,Duglas,Douglass,Daglace,Daglas,Daglass,Dagleace,Dagleas,Daglease,Daglece,Daglees,Dagleese,Daglis,Dagles,Daglese,Dagless,Daglesse,Daglous,Diglesse,Duglass,Duglis,Doughlas,Doughlass,,,,,,
Douglason,Dougleson,Dunglison,Dunglinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douthwait,Douthwayte,Douthwhait,Douthwhat,Dothwhat,Dowthwait,Dowthwaite,Dowthwayt,Dowthwhait,Dowthwhat,Dowthwhet,Dowtwhayt,Dowthwaite,Duthehait,Douthtwhte,Dowthat,Dowfoot,Dowfoote,Douthat,Dovefoot,Duffit,Duffitt,Duffwoot,Dufit,Dufoot,Doughfit,Doughfoot,Doughthat,Doughthwaite,Doughtwaite,Doughwaite,
Dovaston,Devaston,Doveston,Dovison,Tovaston,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove,Dovve,Dovey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovenor,Davinor,Dovinor,Dabner,Taverner,Tavernor,Dobener,Dovener,Dovenor,Dovernor,Dabenor,Dabner,Davener,Davenor,Debner,Devenor,Dobenor,Tavenor,Tobbnor,Tabbernor,Tabbnor,Taberner,Tavaner,Tavener,Tavenor,Tavner,Tabner,Tabnor,Tubener,,,
Dowe,Dow,Doe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
